,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(15,)",[0.67532468 0.64935065 0.66233766 0.63311688 0.66233766],0.6564935064935065,"('15',)",0.018361298825973687,0.0142857142857143,0.007142857142857149
2,"(0, 15)",[0.86201299 0.84090909 0.87175325 0.81331169 0.8474026 ],0.8470779220779221,"('0', '15')",0.025771581278789757,0.020051165787850003,0.010025582893925
3,"(0, 1, 15)",[0.89935065 0.88636364 0.90909091 0.88798701 0.89935065],0.8964285714285716,"('0', '1', '15')",0.010753126673852122,0.008366297874496826,0.004183148937248413
4,"(0, 1, 15, 30)",[0.93993506 0.92532468 0.95292208 0.93019481 0.94318182],0.9383116883116884,"('0', '1', '15', '30')",0.012519067381345693,0.009740259740259745,0.004870129870129873
5,"(0, 1, 10, 15, 30)",[0.94318182 0.94805195 0.96590909 0.95292208 0.94642857],0.9512987012987013,"('0', '1', '10', '15', '30')",0.01022177571327258,0.007952888775270067,0.0039764443876350326
6,"(0, 1, 10, 15, 16, 30)",[0.95292208 0.96590909 0.96915584 0.95616883 0.96428571],0.9616883116883118,"('0', '1', '10', '15', '16', '30')",0.007873643031104,0.0061259617740627055,0.0030629808870313523
7,"(0, 1, 10, 15, 16, 30, 34)",[0.96590909 0.9724026  0.97402597 0.97077922 0.9724026 ],0.971103896103896,"('0', '1', '10', '15', '16', '30', '34')",0.0035897696551452844,0.0027929627490397976,0.0013964813745198988
8,"(0, 1, 2, 10, 15, 16, 30, 34)",[0.97727273 0.98376623 0.97564935 0.9724026  0.9724026 ],0.9762987012987013,"('0', '1', '2', '10', '15', '16', '30', '34')",0.005376563336926064,0.004183148937248415,0.0020915744686242077
9,"(0, 1, 2, 10, 15, 16, 28, 30, 34)",[0.98376623 0.98051948 0.98214286 0.9788961  0.98051948],0.9811688311688312,"('0', '1', '2', '10', '15', '16', '28', '30', '34')",0.0021278322956487764,0.0016555258161015203,0.0008277629080507601
10,"(0, 1, 2, 9, 10, 15, 16, 28, 30, 34)",[0.98376623 0.98051948 0.98538961 0.98051948 0.98701299],0.9834415584415584,"('0', '1', '2', '9', '10', '15', '16', '28', '30', '34')",0.0033384179683588148,0.0025974025974025705,0.0012987012987012853
